,,,,,,,,"* this is necessary because often, the values of some cells are extremely similar",,,,,,,,,,,,,,,,,,,,,,,,
P(Xi|Zj) from Matt,,,,,,,,"Rounded to 3 significant figures, in scientific notation",,,,,,,,,cells containing max value of each row are marked with 1,,,,,,,,,normalises each row to sum to 1,,,,,,
13353715296,13353715266,2.43624E+12,7772684041,1.22573E+11,13353715281,2.51851E+11,,13400000000,13400000000,2.44E+12,7770000000,1.23E+11,13400000000,2.52E+11,2.44E+12,,0,0,1,0,0,0,0,1,,0,0,1,0,0,0,0
13.26915252,112.4466721,0.412404593,0.001249711,0.079564927,1.919972496,6.547096471,,13.3,112,0.412,0.00125,0.0796,1.92,6.55,112,,0,1,0,0,0,0,0,1,,0,1,0,0,0,0,0
943394101.2,102777840.1,59823027.5,18750715281,102777840.2,102777839.8,59823027.5,,943000000,103000000,59800000,18800000000,103000000,103000000,59800000,18800000000,,0,0,0,1,0,0,0,1,,0,0,0,1,0,0,0
16809640.37,97985.15804,1072580.506,3422.00349,107575.5226,851317.218,110880.0042,,16800000,98000,1070000,3420,108000,851000,111000,16800000,,1,0,0,0,0,0,0,1,,1,0,0,0,0,0,0
663.6351313,5201.318966,21.17614018,0.0675612,3.182340714,50.08185137,2.189122869,,664,5200,21.2,0.0676,3.18,50.1,2.19,5200,,0,1,0,0,0,0,0,1,,0,1,0,0,0,0,0
8251983.477,48101.6778,526538.1304,1679.888185,52809.6625,417918.2576,54431.85825,,8250000,48100,527000,1680,52800,418000,54400,8250000,,1,0,0,0,0,0,0,1,,1,0,0,0,0,0,0
301994.7542,1599495.105,140457.6919,407.3956387,19189.59013,301994.7539,31768261.24,,302000,1600000,140000,407,19200,302000,31800000,31800000,,0,0,0,0,0,0,1,1,,0,0,0,0,0,0,1
180577.8438,1429033.519,5744.225051,1800449.301,28216907.82,164479.3219,5744.225051,,181000,1430000,5740,1800000,28200000,164000,5740,28200000,,0,0,0,0,1,0,0,1,,0,0,0,0,1,0,0
19448577161,19448577095,3.54818E+12,11320268674,1.78518E+11,19448577114,3.668E+11,,19400000000,19400000000,3.55E+12,11300000000,1.79E+11,19400000000,3.67E+11,3.55E+12,,0,0,1,0,0,0,0,1,,0,0,1,0,0,0,0
941292744.5,102548908.2,59689775.11,18708949130,102548908.3,102548908.1,59689775.11,,941000000,103000000,59700000,18700000000,103000000,103000000,59700000,18700000000,,0,0,0,1,0,0,0,1,,0,0,0,1,0,0,0
141226318,823223.0433,9011293.063,28749.9877,903796.5508,7152347.92,931559.1759,,141000000,823000,9010000,28700,904000,7150000,932000,141000000,,1,0,0,0,0,0,0,1,,1,0,0,0,0,0,0
3110497475,18131416.21,198472952.5,633215.9984,19906041.05,157529845.8,20517510.5,,3110000000,18100000,198000000,633000,19900000,158000000,20500000,3110000000,,1,0,0,0,0,0,0,1,,1,0,0,0,0,0,0
3259932754,355152577.7,206720655.3,64793781126,355152578,355152577.3,206720655.3,,3260000000,355000000,207000000,64800000000,355000000,355000000,207000000,64800000000,,0,0,0,1,0,0,0,1,,0,0,0,1,0,0,0
16095283046,1753496681,1020642973,3.19907E+11,1753496683,1753496679,1020642973,,16100000000,1750000000,1020000000,3.2E+11,1750000000,1750000000,1020000000,3.2E+11,,0,0,0,1,0,0,0,1,,0,0,0,1,0,0,0
576972871.8,327585793.8,35573471.76,35573471.81,576972872.7,327585793.8,35573471.72,,577000000,328000000,35600000,35600000,577000000,328000000,35600000,577000000,,1,0,0,0,1,0,0,2,,0.5,0,0,0,0.5,0,0
3520234158,1998670574,217041314.3,217041314.3,3520234158,1998670574,217041314,,3520000000,2000000000,217000000,217000000,3520000000,2000000000,217000000,3520000000,,1,0,0,0,1,0,0,2,,0.5,0,0,0,0.5,0,0
815693795.7,463123500.5,50291896.96,50291896.57,815693789.6,463123500.8,50291896.28,,816000000,463000000,50300000,50300000,816000000,463000000,50300000,816000000,,1,0,0,0,1,0,0,2,,0.5,0,0,0,0.5,0,0
420467.2309,3295461.737,13416.81988,42.80555558,2016.27359,31730.95634,1386.988704,,420000,3300000,13400,42.8,2020,31700,1390,3300000,,0,1,0,0,0,0,0,1,,0,1,0,0,0,0,0
11395410707,11395410587,1.04598E+11,6632830209,1.04598E+11,11395410707,11395410607,,11400000000,11400000000,1.05E+11,6630000000,1.05E+11,11400000000,11400000000,1.05E+11,,0,0,1,0,1,0,0,2,,0,0,0.5,0,0.5,0,0
2176.737052,17060.43454,69.45818084,0.221602142,10.43814382,164.2695156,7.180368609,,2180,17100,69.5,0.222,10.4,164,7.18,17100,,0,1,0,0,0,0,0,1,,0,1,0,0,0,0,0
975510909.5,5686355.477,62244876.27,198588.5279,6242911.421,49404342.68,6434679.821,,976000000,5690000,62200000,199000,6240000,49400000,6430000,976000000,,1,0,0,0,0,0,0,1,,1,0,0,0,0,0,0
96.64741638,1517.664226,2.05401081,0.006534499,0.416029762,10.03916845,2.05401081,,96.6,1520,2.05,0.00653,0.416,10,2.05,1520,,0,1,0,0,0,0,0,1,,0,1,0,0,0,0,0
22596496485,22596496422,4.12249E+12,13152551453,2.07412E+11,22596496459,4.2617E+11,,22600000000,22600000000,4.12E+12,13200000000,2.07E+11,22600000000,4.26E+11,4.12E+12,,0,0,1,0,0,0,0,1,,0,0,1,0,0,0,0
